PCA1_u,PCA2_u,PCA1_v,PCA2_v
-0.03570625819633408,-0.05501000801715007,-0.03570625819633408,-0.05501000801715007
-0.034335584712021326,-0.057406458195744005,-0.034335584712021326,-0.057406458195744005
-0.032935388835663514,-0.05930577103387999,-0.032935388835663514,-0.05930577103387999
-0.03166174307388322,-0.060693742240680804,-0.03166174307388322,-0.060693742240680804
-0.030362760068402946,-0.06188204767784017,-0.030362760068402946,-0.06188204767784017
-0.026773646478725766,0.020065533107881697,-0.026773646478725766,0.020065533107881697
-0.02808094318418721,0.01839924216617695,-0.02808094318418721,0.01839924216617695
-0.029056040783570148,0.01675098597585705,-0.029056040783570148,0.01675098597585705
-0.03039628372091591,0.014877839902538804,-0.03039628372091591,0.014877839902538804
-0.03147317953589078,0.012426268071784206,-0.03147317953589078,0.012426268071784206
-0.03291330326289763,0.009731468322698816,-0.03291330326289763,0.009731468322698816
-0.03395267788278618,0.006311536813962183,-0.03395267788278618,0.006311536813962183
-0.03514210221761282,0.003176854884751147,-0.03514210221761282,0.003176854884751147
-0.03637267247293828,-0.0007803562795226731,-0.03637267247293828,-0.0007803562795226731
-0.03740208233648387,-0.00530731125758655,-0.03740208233648387,-0.00530731125758655
-0.03846745322530739,-0.010044423129004608,-0.03846745322530739,-0.010044423129004608
-0.039104193060137016,-0.01500275538650469,-0.039104193060137016,-0.01500275538650469
-0.03981963440606514,-0.02062758279328384,-0.03981963440606514,-0.02062758279328384
-0.040143509881983175,-0.026316492346625885,-0.040143509881983175,-0.026316492346625885
-0.040167125052590395,-0.03229271848862421,-0.040167125052590395,-0.03229271848862421
-0.03995224051070603,-0.037982918357042865,-0.03995224051070603,-0.037982918357042865
-0.039368120352362104,-0.042963892553470225,-0.039368120352362104,-0.042963892553470225
-0.038608742010565134,-0.047389647847160314,-0.038608742010565134,-0.047389647847160314
-0.037533415716594735,-0.05106407805011881,-0.037533415716594735,-0.05106407805011881
-0.03627445960075155,-0.05418735737362944,-0.03627445960075155,-0.05418735737362944
-0.03494938305534501,-0.05666601955489235,-0.03494938305534501,-0.05666601955489235
-0.0335794417575733,-0.05855616306478034,-0.0335794417575733,-0.05855616306478034
