,latitude,longitude,time,u10,v10
1082848,-25.75,-41.0,1994-01-01,-4.0164123,2.1534998
1087232,-25.75,-40.75,1994-01-01,-4.008096,2.1526668
1091616,-25.75,-40.5,1994-01-01,-3.8399305,2.2434757
1096000,-25.75,-40.25,1994-01-01,-3.600618,2.537563
1100384,-25.75,-40.0,1994-01-01,-3.3723931,2.8441474
1104768,-26.0,-47.25,1994-01-01,-5.0919333,-2.49275
1109152,-26.0,-47.0,1994-01-01,-4.736198,-2.4069397
1113536,-26.0,-46.75,1994-01-01,-4.519985,-2.4560933
1117920,-26.0,-46.5,1994-01-01,-4.361059,-2.347789
1122304,-26.0,-46.25,1994-01-01,-4.6068397,-2.1753354
1126688,-26.0,-46.0,1994-01-01,-4.8627844,-1.9287351
1131072,-26.0,-45.75,1994-01-01,-4.9671946,-1.6288158
1135456,-26.0,-45.5,1994-01-01,-4.931159,-1.3280634
1139840,-26.0,-45.25,1994-01-01,-4.7944093,-1.1031239
1144224,-26.0,-45.0,1994-01-01,-4.4719377,-0.9998183
1148608,-26.0,-44.75,1994-01-01,-4.2640405,-0.96816015
1152992,-26.0,-44.5,1994-01-01,-4.1827297,-0.93233645
1157376,-26.0,-44.25,1994-01-01,-4.233549,-0.8132019
1161760,-26.0,-44.0,1994-01-01,-4.2991524,-0.5932611
1166144,-26.0,-43.75,1994-01-01,-4.292684,-0.29834044
1170528,-26.0,-43.5,1994-01-01,-4.3582873,0.02490592
1174912,-26.0,-43.25,1994-01-01,-4.4081826,0.38397598
1179296,-26.0,-43.0,1994-01-01,-4.4164987,0.67889667
1183680,-26.0,-42.75,1994-01-01,-4.393399,0.95632195
1188064,-26.0,-42.5,1994-01-01,-4.3656793,1.26124
1192448,-26.0,-42.25,1994-01-01,-4.3361115,1.6086466
1196832,-26.0,-42.0,1994-01-01,-4.231701,1.8919036
1201216,-26.0,-41.75,1994-01-01,-4.033968,2.1360047
1205600,-26.0,-41.5,1994-01-01,-3.9332533,2.2618043
1209984,-26.0,-41.25,1994-01-01,-3.9120016,2.3026264
1214368,-26.0,-41.0,1994-01-01,-3.943417,2.2892969
1218752,-26.0,-40.75,1994-01-01,-3.9785287,2.2626374
1223136,-26.0,-40.5,1994-01-01,-3.9258614,2.306792
1227520,-26.0,-40.25,1994-01-01,-3.7124205,2.5575578
1231904,-26.0,-40.0,1994-01-01,-3.4139726,2.83415
1236288,-26.25,-47.25,1994-01-01,-4.6927705,-2.7118578
1240672,-26.25,-47.0,1994-01-01,-4.3259478,-2.621882
1245056,-26.25,-46.75,1994-01-01,-4.0690794,-2.5377378
1249440,-26.25,-46.5,1994-01-01,-4.1272907,-2.4186034
1253824,-26.25,-46.25,1994-01-01,-4.3952465,-2.1620057
1258208,-26.25,-46.0,1994-01-01,-4.58836,-1.9395655
1262592,-26.25,-45.75,1994-01-01,-4.6936946,-1.7037957
1266976,-26.25,-45.5,1994-01-01,-4.7121744,-1.4838548
1271360,-26.25,-45.25,1994-01-01,-4.6410275,-1.386381
1275744,-26.25,-45.0,1994-01-01,-4.3490477,-1.3822155
1280128,-26.25,-44.75,1994-01-01,-4.2196894,-1.3288965
1284512,-26.25,-44.5,1994-01-01,-4.217841,-1.2547498
1288896,-26.25,-44.25,1994-01-01,-4.315784,-1.111455
1293280,-26.25,-44.0,1994-01-01,-4.4423704,-0.8915142
1297664,-26.25,-43.75,1994-01-01,-4.4922657,-0.62075365
1302048,-26.25,-43.5,1994-01-01,-4.571728,-0.28501058
1306432,-26.25,-43.25,1994-01-01,-4.6299396,0.109050035
1310816,-26.25,-43.0,1994-01-01,-4.646571,0.54060054
1315200,-26.25,-42.75,1994-01-01,-4.6484194,0.99131274
1319584,-26.25,-42.5,1994-01-01,-4.6207,1.4003692
1323968,-26.25,-42.25,1994-01-01,-4.509821,1.8010948
1328352,-26.25,-42.0,1994-01-01,-4.2742043,2.0560262
1332736,-26.25,-41.75,1994-01-01,-4.105115,2.2301462
1337120,-26.25,-41.5,1994-01-01,-3.9914646,2.306792
1341504,-26.25,-41.25,1994-01-01,-3.951733,2.3401163
1345888,-26.25,-41.0,1994-01-01,-3.9739087,2.3409493
1350272,-26.25,-40.75,1994-01-01,-4.0164123,2.3309524
1354656,-26.25,-40.5,1994-01-01,-3.955429,2.3434489
1359040,-26.25,-40.25,1994-01-01,-3.811287,2.5100706
1363424,-26.25,-40.0,1994-01-01,-3.4897397,2.7591703
1367808,-26.5,-47.5,1994-01-01,-4.8258247,-3.0301056
1372192,-26.5,-47.25,1994-01-01,-4.3887787,-2.9626236
1376576,-26.5,-47.0,1994-01-01,-4.0653834,-2.927633
1380960,-26.5,-46.75,1994-01-01,-3.970213,-2.7801728
1385344,-26.5,-46.5,1994-01-01,-4.0542955,-2.675201
1389728,-26.5,-46.25,1994-01-01,-4.2039814,-2.4485953
1394112,-26.5,-46.0,1994-01-01,-4.3435035,-2.2353194
1398496,-26.5,-45.75,1994-01-01,-4.4867215,-2.051202
1402880,-26.5,-45.5,1994-01-01,-4.591132,-1.9553946
1407264,-26.5,-45.25,1994-01-01,-4.525529,-1.8787485
1411648,-26.5,-45.0,1994-01-01,-4.320404,-1.7187916
1416032,-26.5,-44.75,1994-01-01,-4.413727,-1.5205116
1420416,-26.5,-44.5,1994-01-01,-4.517213,-1.3972114
1424800,-26.5,-44.25,1994-01-01,-4.7149463,-1.1739382
1429184,-26.5,-44.0,1994-01-01,-4.8507724,-0.9331696
1433568,-26.5,-43.75,1994-01-01,-4.9172993,-0.66574156
1437952,-26.5,-43.5,1994-01-01,-4.9145274,-0.30917084
1442336,-26.5,-43.25,1994-01-01,-4.9330072,0.09072161
1446720,-26.5,-43.0,1994-01-01,-4.957955,0.6047499
1451104,-26.5,-42.75,1994-01-01,-4.9108315,1.0579615
1455488,-26.5,-42.5,1994-01-01,-4.7694616,1.4661849
1459872,-26.5,-42.25,1994-01-01,-4.6253195,1.8427503
1464256,-26.5,-42.0,1994-01-01,-4.3952465,2.1118443
1468640,-26.5,-41.75,1994-01-01,-4.1956654,2.2884638
1473024,-26.5,-41.5,1994-01-01,-4.0718513,2.3692753
1477408,-26.5,-41.25,1994-01-01,-4.020108,2.3909361
1481792,-26.5,-41.0,1994-01-01,-4.040436,2.3784397
1486176,-26.5,-40.75,1994-01-01,-4.0810914,2.3292859
1490560,-26.5,-40.5,1994-01-01,-4.0395117,2.3392832
1494944,-26.5,-40.25,1994-01-01,-3.9258614,2.4634163
1499328,-26.5,-40.0,1994-01-01,-3.6227937,2.6367033
1503712,-26.75,-47.75,1994-01-01,-5.170472,-3.4649885
1508096,-26.75,-47.5,1994-01-01,-4.638255,-3.171734
1512480,-26.75,-47.25,1994-01-01,-4.217841,-3.103419
1516864,-26.75,-47.0,1994-01-01,-4.100495,-3.1575713
