jan_U,fev_U,mar_U,abr_U,mai_U,jun_U,jul_U,ago_U,ste_U,out_U,nov_U,dez_U,longitude,latitude
-2.150850296020508,-2.5069236755371094,-2.761139154434204,-0.4922555685043335,0.02690538763999939,1.1532288789749146,0.7025591135025024,0.4148005545139313,-1.7069532871246338,-2.1306259632110596,-2.2773983478546143,-1.9661821126937866,-47.5,-28.0
-2.0938894748687744,-2.442931890487671,-2.752464532852173,-0.5689693093299866,0.007567164022475481,1.037737488746643,0.6002703905105591,0.40408816933631897,-1.7437599897384644,-2.161707639694214,-2.3080763816833496,-1.9621247053146362,-47.5,-27.75
-2.086594343185425,-2.4304676055908203,-2.7438220977783203,-0.717165470123291,-0.05537392571568489,0.9028507471084595,0.42537179589271545,0.27553972601890564,-1.8611477613449097,-2.2411019802093506,-2.3916616439819336,-2.023874521255493,-47.5,-27.5
-2.1068837642669678,-2.4437062740325928,-2.7042911052703857,-0.9100464582443237,-0.17433521151542664,0.7440897822380066,0.27206775546073914,0.0457797609269619,-2.018451690673828,-2.3327748775482178,-2.498445510864258,-2.087782621383667,-47.5,-27.25
-2.1457033157348633,-2.4605884552001953,-2.6580655574798584,-1.1301485300064087,-0.2844180762767792,0.5721346139907837,0.10604966431856155,-0.17884118854999542,-2.175387144088745,-2.392653703689575,-2.6225037574768066,-2.1585185527801514,-47.5,-27.0
-2.2522692680358887,-2.5545766353607178,-2.675598382949829,-1.4104180335998535,-0.5011903643608093,0.2701107859611511,-0.154390349984169,-0.5009652972221375,-2.4274840354919434,-2.524048328399658,-2.8227643966674805,-2.317699432373047,-47.5,-26.75
-2.3288440704345703,-2.6174960136413574,-2.7010703086853027,-1.6784214973449707,-0.7290146350860596,-0.02764994278550148,-0.43337106704711914,-0.7833511233329773,-2.6347110271453857,-2.6366121768951416,-2.970585823059082,-2.4355361461639404,-47.5,-26.5
-2.5156662464141846,-2.847391366958618,-2.936389923095703,-0.2768033444881439,-0.15958534181118011,1.4106413125991821,0.9330409169197083,-0.0716828778386116,-2.055748462677002,-2.3494908809661865,-2.500696897506714,-2.4500839710235596,-47.25,-29.0
-2.4533824920654297,-2.8052878379821777,-2.9547529220581055,-0.3630267381668091,-0.1406727284193039,1.325188398361206,0.8786003589630127,-0.004736441653221846,-2.0068275928497314,-2.3048651218414307,-2.4985158443450928,-2.3797426223754883,-47.25,-28.75
-2.3812167644500732,-2.7594215869903564,-2.9425508975982666,-0.4459250569343567,-0.14242860674858093,1.218396544456482,0.7947689294815063,0.025839416310191154,-1.9748002290725708,-2.3001868724823,-2.495607852935791,-2.27241849899292,-47.25,-28.5
-2.32612943649292,-2.729543924331665,-2.9300668239593506,-0.5277363657951355,-0.14072363078594208,1.0958517789840698,0.68854820728302,0.04977744072675705,-1.9667129516601562,-2.3260395526885986,-2.4966256618499756,-2.1893885135650635,-47.25,-28.25
-2.257589817047119,-2.665005922317505,-2.9157192707061768,-0.6054418087005615,-0.12122486531734467,0.9751761555671692,0.5610527396202087,0.08619938045740128,-1.9838241338729858,-2.342129707336426,-2.4871270656585693,-2.1313421726226807,-47.25,-28.0
-2.223029375076294,-2.6124794483184814,-2.924555540084839,-0.6978173851966858,-0.13601742684841156,0.8306440711021423,0.41038745641708374,0.05801595002412796,-2.0511789321899414,-2.393625497817993,-2.516876697540283,-2.1360859870910645,-47.25,-27.75
-2.22660493850708,-2.6059253215789795,-2.9237592220306396,-0.8514167070388794,-0.19281306862831116,0.6890512108802795,0.2239643633365631,-0.0680464431643486,-2.1768908500671387,-2.4770727157592773,-2.6010146141052246,-2.1986865997314453,-47.25,-27.5
-2.244567394256592,-2.628819465637207,-2.895054340362549,-1.02168869972229,-0.24425622820854187,0.562211811542511,0.02748810313642025,-0.2241763174533844,-2.323317766189575,-2.5503456592559814,-2.7018649578094482,-2.2594540119171143,-47.25,-27.25
-2.283679723739624,-2.6460583209991455,-2.8491897583007812,-1.242073655128479,-0.35448357462882996,0.38987985253334045,-0.13900640606880188,-0.4494282305240631,-2.480886936187744,-2.6107404232025146,-2.8264167308807373,-2.3305370807647705,-47.25,-27.0
-2.3337888717651367,-2.667642831802368,-2.8294739723205566,-1.4719213247299194,-0.48988157510757446,0.2116178572177887,-0.333623468875885,-0.6820533275604248,-2.646524429321289,-2.6685678958892822,-2.948925495147705,-2.4052584171295166,-47.25,-26.75
-2.4059159755706787,-2.72432541847229,-2.8535611629486084,-1.732996940612793,-0.7067503333091736,-0.06224488094449043,-0.5931918025016785,-0.9478169679641724,-2.8432064056396484,-2.7759790420532227,-3.0897586345672607,-2.510707378387451,-47.25,-26.5
-2.4325947761535645,-2.7106757164001465,-2.852872848510742,-1.962675929069519,-0.9159337282180786,-0.2979899048805237,-0.7756600975990295,-1.1120272874832153,-2.9689507484436035,-2.8638174533843994,-3.184702157974243,-2.550751209259033,-47.25,-26.25
-2.432352304458618,-2.6350600719451904,-2.825183868408203,-2.159581184387207,-1.080312967300415,-0.5237780809402466,-0.9222073554992676,-1.2229573726654053,-3.0549542903900146,-2.9468042850494385,-3.2564642429351807,-2.5822362899780273,-47.25,-26.0
-2.520939350128174,-2.8908119201660156,-2.9756667613983154,-0.34239333868026733,-0.15928062796592712,1.394191861152649,0.8942093253135681,-0.09205717593431473,-2.139841318130493,-2.392913341522217,-2.584432363510132,-2.5289571285247803,-47.0,-29.0
-2.497439384460449,-2.910517692565918,-3.056753396987915,-0.45866256952285767,-0.20527364313602448,1.2511305809020996,0.778819739818573,-0.11906043440103531,-2.1616909503936768,-2.418217897415161,-2.6630706787109375,-2.5040230751037598,-47.0,-28.75
-2.442613124847412,-2.884631872177124,-3.072218418121338,-0.5505473613739014,-0.22385266423225403,1.1328625679016113,0.6846430897712708,-0.11394105106592178,-2.151912212371826,-2.442162036895752,-2.692135810852051,-2.4245426654815674,-47.0,-28.5
-2.389819860458374,-2.8436920642852783,-3.061022996902466,-0.6363893151283264,-0.24266265332698822,0.9962133765220642,0.5707445740699768,-0.1325676143169403,-2.1650617122650146,-2.475334405899048,-2.7021663188934326,-2.3512532711029053,-47.0,-28.25
-2.3562252521514893,-2.799980878829956,-3.0673818588256836,-0.7410149574279785,-0.26082679629325867,0.8319740891456604,0.40378403663635254,-0.1816374510526657,-2.2345855236053467,-2.518772840499878,-2.714160919189453,-2.324160099029541,-47.0,-28.0
-2.336474895477295,-2.756840229034424,-3.0818746089935303,-0.8484753966331482,-0.2818429470062256,0.647825300693512,0.2234344631433487,-0.2586798667907715,-2.32609486579895,-2.581394910812378,-2.740999698638916,-2.3268625736236572,-47.0,-27.75
-2.3438069820404053,-2.7590208053588867,-3.071157455444336,-0.9859769344329834,-0.32545554637908936,0.49435925483703613,0.038537148386240005,-0.38683316111564636,-2.46127986907959,-2.6566076278686523,-2.808709144592285,-2.3545687198638916,-47.0,-27.5
-2.3607678413391113,-2.782383918762207,-3.0428102016448975,-1.1550735235214233,-0.3753846287727356,0.3681033253669739,-0.15954799950122833,-0.541242241859436,-2.6076157093048096,-2.7290360927581787,-2.908971071243286,-2.41481876373291,-47.0,-27.25
-2.3931713104248047,-2.804708957672119,-3.018650770187378,-1.3496005535125732,-0.44980302453041077,0.23791806399822235,-0.3555334210395813,-0.7326670289039612,-2.757030487060547,-2.784688949584961,-3.0099737644195557,-2.46592116355896,-47.0,-27.0
