jan_U,jan_V,fev_U,fev_V,mar_U,mar_V,abr_U,abr_V,mai_U,mai_V,jun_U,jun_V,jul_U,jul_V,ago_U,ago_V,ste_U,ste_V,out_U,out_V,nov_U,nov_V,dez_U,dez_V
-2.347071886062622,-1.0113881826400757,-1.877684235572815,-1.1022462844848633,-1.7841092348098757,-0.492518275976181,-0.9031059741973876,-0.5775539875030518,0.2775315642356873,0.003658780595287681,0.9242734313011168,-0.7347956299781799,0.6571489572525024,-0.5987609624862671,0.09648194909095764,-0.9267383217811584,-1.055633783340454,-0.4357437193393707,-1.7468841075897217,-0.9026556015014648,-2.122103214263916,-0.9124851822853088,-1.9304155111312864,-1.0333547592163086
-2.364314317703247,-0.7958371639251709,-1.9196797609329224,-0.8806416988372803,-1.8398168087005613,-0.28659939765930176,-1.0148563385009766,-0.359822154045105,0.1444242000579834,0.16996002197265625,0.7894428968429565,-0.5291522145271301,0.5238050222396851,-0.3234541118144989,-0.02702252380549908,-0.5681591629981995,-1.1819483041763306,-0.1447419375181198,-1.8356815576553345,-0.6069439053535461,-2.211610555648804,-0.6770874857902527,-1.994609236717224,-0.8153088688850403
-2.418975114822388,-0.6069335341453552,-2.0092251300811768,-0.6984502673149109,-1.9418474435806277,-0.1175272986292839,-1.171875,-0.1692773997783661,-0.045197878032922745,0.297173410654068,0.584591805934906,-0.344111442565918,0.30094587802886963,-0.08840394020080566,-0.23574966192245486,-0.2770133316516876,-1.3713064193725586,0.07566502690315248,-1.9795571565628047,-0.3721301853656769,-2.3476994037628174,-0.4860442578792572,-2.1028645038604736,-0.6376861333847046
-2.5450379848480225,-0.4313703775405884,-2.1621994972229004,-0.5357685089111328,-2.105490207672119,0.028003092855215076,-1.3799294233322144,-0.008574819192290306,-0.2746749818325043,0.3925439715385437,0.3291861116886139,-0.1577601432800293,-0.0021340849343687296,0.11850570142269135,-0.533672034740448,-0.02918978035449982,-1.6416232585906982,0.2559270262718201,-2.209894895553589,-0.176691472530365,-2.565539598464966,-0.316823273897171,-2.289910316467285,-0.4795317947864533
-2.7076117992401123,-0.2924354672431946,-2.3428306579589844,-0.3973786234855652,-2.2905969619750977,0.1481795310974121,-1.6076506376266482,0.11317392438650133,-0.5093790292739868,0.4627035260200501,0.052396368235349655,-0.02098496630787849,-0.31709155440330505,0.2612975239753723,-0.8361932635307312,0.146044984459877,-1.9167855978012085,0.4018256962299347,-2.4667589664459233,-0.02215852215886116,-2.8239424228668213,-0.17441223561763766,-2.5200207233428955,-0.3516845405101776
-2.836778402328491,-1.5339330434799194,-2.3502306938171387,-1.6664960384368896,-2.1562728881835938,-0.976902186870575,-0.9349281787872314,-1.072030782699585,0.31530219316482544,-0.5536273121833801,1.0591499805450442,-1.340679407119751,0.5901933908462524,-1.4976133108139038,-0.3128544092178345,-2.038635492324829,-1.500861406326294,-1.4754683971405032,-2.1700220108032227,-1.706592679023743,-2.370727777481079,-1.5528274774551392,-2.277460813522339,-1.6011027097702026
-2.773470878601074,-1.502850890159607,-2.2655155658721924,-1.667864441871643,-2.0964946746826167,-0.9634947776794434,-0.9318290948867798,-1.0480037927627563,0.3177284896373749,-0.5157895088195801,1.0328865051269531,-1.3082038164138794,0.5803127884864807,-1.4125425815582275,-0.2626914083957672,-1.9342617988586424,-1.4276999235153198,-1.3634366989135742,-2.1092379093170166,-1.6347001791000366,-2.3281166553497314,-1.4941669702529907,-2.2149333953857417,-1.5631469488143919
-2.7181551456451416,-1.4296668767929075,-2.200993537902832,-1.6086219549179075,-2.0483865737915044,-0.9026789665222168,-0.9482831954956056,-0.9805501103401184,0.2961513996124268,-0.43586817383766174,1.0042736530303955,-1.2417412996292114,0.5682964324951172,-1.3009828329086304,-0.2148689925670624,-1.7953535318374634,-1.3687125444412231,-1.1999318599700928,-2.062383890151977,-1.526592254638672,-2.3031160831451416,-1.3963576555252075,-2.1715250015258794,-1.483428120613098
-2.618025779724121,-1.3457740545272827,-2.1189467906951904,-1.5067734718322754,-1.9800871610641482,-0.8147962093353271,-0.9573348760604858,-0.895328938961029,0.2631012201309204,-0.3319669365882873,0.9619271755218506,-1.148848056793213,0.5452923178672789,-1.1655263900756836,-0.1696239858865738,-1.6217459440231323,-1.3103054761886597,-1.022960901260376,-1.9972426891326904,-1.4032750129699707,-2.258762836456299,-1.2866805791854858,-2.100603580474853,-1.3906288146972656
-2.5662338733673096,-1.205858588218689,-2.0806128978729252,-1.3525315523147583,-1.9617445468902588,-0.6810044646263123,-0.9925577640533448,-0.7689566612243652,0.22987039387226105,-0.21956883370876312,0.9234585165977478,-1.0241310596466064,0.5277359485626221,-0.9988528490066528,-0.1356140673160553,-1.3811116218566897,-1.2910419702529907,-0.8001273274421692,-1.9765270948410036,-1.1957881450653076,-2.262462854385376,-1.1161292791366575,-2.07811975479126,-1.2362140417099
