jan_U,fev_U,mar_U,abr_U,mai_U,jun_U,jul_U,ago_U,ste_U,out_U,nov_U,dez_U,longitude,latitude
-2.7174360752105713,-2.22997784614563,-2.043928623199463,-0.9232604503631592,0.31649744510650635,0.9409275650978088,0.5554256439208984,-0.23953662812709808,-1.3435206413269043,-2.052457571029663,-2.2981317043304443,-2.190194845199585,-47.75,-28.75
-2.6430680751800537,-2.1358892917633057,-1.9688756465911865,-0.8955742716789246,0.3413276970386505,0.9781426191329956,0.6288158893585205,-0.08642660081386566,-1.2157829999923706,-1.9523179531097412,-2.2443127632141113,-2.131726026535034,-47.75,-28.5
-2.4847755432128906,-1.9898643493652344,-1.851684331893921,-0.8492412567138672,0.3560958504676819,1.0025488138198853,0.6871259808540344,0.04830439016222954,-1.0792571306228638,-1.805184006690979,-2.128411293029785,-1.996934413909912,-47.75,-28.25
-2.3748059272766113,-1.8890337944030762,-1.780566930770874,-0.8416811227798462,0.3496455252170563,1.0001707077026367,0.7117975354194641,0.1269938200712204,-1.0134276151657104,-1.7274456024169922,-2.080704927444458,-1.9182400703430176,-47.75,-28.0
-2.347071886062622,-1.877684235572815,-1.7841092348098755,-0.9031059741973877,0.27753156423568726,0.9242734313011169,0.6571489572525024,0.09648194909095764,-1.055633783340454,-1.7468841075897217,-2.122103214263916,-1.9304155111312866,-47.75,-27.75
-2.364314317703247,-1.9196797609329224,-1.8398168087005615,-1.0148563385009766,0.1444242000579834,0.7894428968429565,0.5238050222396851,-0.027022523805499077,-1.1819483041763306,-1.8356815576553345,-2.2116105556488037,-1.9946092367172241,-47.75,-27.5
-2.4189751148223877,-2.0092251300811768,-1.9418474435806274,-1.171875,-0.045197878032922745,0.584591805934906,0.30094587802886963,-0.23574966192245483,-1.3713064193725586,-1.9795571565628052,-2.3476994037628174,-2.1028645038604736,-47.75,-27.25
-2.5450379848480225,-2.1621994972229004,-2.105490207672119,-1.3799294233322144,-0.2746749818325043,0.3291861116886139,-0.0021340849343687296,-0.533672034740448,-1.6416232585906982,-2.209894895553589,-2.565539598464966,-2.289910316467285,-47.75,-27.0
-2.7076117992401123,-2.3428306579589844,-2.2905969619750977,-1.607650637626648,-0.5093790292739868,0.052396368235349655,-0.31709155440330505,-0.8361932635307312,-1.9167855978012085,-2.466758966445923,-2.8239424228668213,-2.5200207233428955,-47.75,-26.75
-2.836778402328491,-2.3502306938171387,-2.1562728881835938,-0.9349281787872314,0.31530219316482544,1.059149980545044,0.5901933908462524,-0.3128544092178345,-1.500861406326294,-2.1700220108032227,-2.370727777481079,-2.277460813522339,-47.5,-29.0
-2.773470878601074,-2.2655155658721924,-2.096494674682617,-0.9318290948867798,0.3177284896373749,1.0328865051269531,0.5803127884864807,-0.2626914083957672,-1.4276999235153198,-2.1092379093170166,-2.3281166553497314,-2.214933395385742,-47.5,-28.75
-2.7181551456451416,-2.200993537902832,-2.048386573791504,-0.9482831954956055,0.29615139961242676,1.0042736530303955,0.5682964324951172,-0.21486899256706238,-1.3687125444412231,-2.0623838901519775,-2.3031160831451416,-2.171525001525879,-47.5,-28.5
-2.618025779724121,-2.1189467906951904,-1.980087161064148,-0.9573348760604858,0.2631012201309204,0.9619271755218506,0.545292317867279,-0.1696239858865738,-1.3103054761886597,-1.9972426891326904,-2.258762836456299,-2.1006035804748535,-47.5,-28.25
-2.5662338733673096,-2.080612897872925,-1.9617445468902588,-0.9925577640533447,0.22987039387226105,0.9234585165977478,0.5277359485626221,-0.1356140673160553,-1.2910419702529907,-1.9765270948410034,-2.262462854385376,-2.0781197547912598,-47.5,-28.0
-2.5347368717193604,-2.07122802734375,-1.9710092544555664,-1.059897780418396,0.1470731943845749,0.8175897598266602,0.4415626525878906,-0.18369343876838684,-1.3431189060211182,-2.0016584396362305,-2.29771089553833,-2.0887515544891357,-47.5,-27.75
-2.5591554641723633,-2.129464626312256,-2.0366594791412354,-1.1836113929748535,0.008587894961237907,0.645723819732666,0.27729979157447815,-0.3144676685333252,-1.466404676437378,-2.0892081260681152,-2.3925583362579346,-2.1588692665100098,-47.5,-27.5
-2.6051769256591797,-2.2128002643585205,-2.1291818618774414,-1.3343061208724976,-0.17200613021850586,0.44452524185180664,0.06520511955022812,-0.5104912519454956,-1.6427468061447144,-2.222400426864624,-2.519294261932373,-2.2574217319488525,-47.5,-27.25
-2.6657588481903076,-2.3075156211853027,-2.231745719909668,-1.4947872161865234,-0.3504679501056671,0.23975390195846558,-0.14260651171207428,-0.6988639235496521,-1.8086549043655396,-2.3602006435394287,-2.6578094959259033,-2.367816925048828,-47.5,-27.0
-2.792264461517334,-2.4565224647521973,-2.389655351638794,-1.7026686668395996,-0.5723551511764526,-0.020023483783006668,-0.4271868169307709,-0.9652086496353149,-2.0461926460266113,-2.5759918689727783,-2.8723838329315186,-2.557180404663086,-47.5,-26.75
-2.8908674716949463,-2.5763590335845947,-2.5295753479003906,-1.8963841199874878,-0.7967444658279419,-0.28420326113700867,-0.6972750425338745,-1.1987707614898682,-2.245002508163452,-2.746809959411621,-3.0333149433135986,-2.708228349685669,-47.5,-26.5
-2.8719468116760254,-2.3757104873657227,-2.186945676803589,-0.9597471356391907,0.2777579128742218,1.0599108934402466,0.553096354007721,-0.3787507116794586,-1.5841439962387085,-2.2262063026428223,-2.4051361083984375,-2.317789316177368,-47.25,-29.0
-2.8328871726989746,-2.3129093647003174,-2.144585371017456,-0.9784267544746399,0.26418158411979675,1.0169718265533447,0.519960880279541,-0.3565816879272461,-1.5403692722320557,-2.192892074584961,-2.39375638961792,-2.273935079574585,-47.25,-28.75
-2.7840888500213623,-2.2623298168182373,-2.105145215988159,-1.009720802307129,0.22611021995544434,0.9611251950263977,0.4682549238204956,-0.36218419671058655,-1.5182199478149414,-2.172778606414795,-2.381877899169922,-2.2353899478912354,-47.25,-28.5
-2.7432467937469482,-2.235992670059204,-2.089285135269165,-1.056785225868225,0.16803717613220215,0.8897854089736938,0.39607512950897217,-0.38221028447151184,-1.5217714309692383,-2.176572561264038,-2.3883135318756104,-2.2232859134674072,-47.25,-28.25
-2.690242290496826,-2.2009246349334717,-2.074016571044922,-1.1087993383407593,0.1083935797214508,0.8053621053695679,0.3216798007488251,-0.4065527319908142,-1.534054160118103,-2.1764543056488037,-2.3895392417907715,-2.2024989128112793,-47.25,-28.0
-2.671642541885376,-2.21050763130188,-2.0998241901397705,-1.1895358562469482,0.015707485377788544,0.6807714104652405,0.2109798938035965,-0.47328633069992065,-1.6008878946304321,-2.216754198074341,-2.434539794921875,-2.222397804260254,-47.25,-27.75
-2.7018632888793945,-2.276779890060425,-2.1728079319000244,-1.3167356252670288,-0.12247896194458008,0.5076965093612671,0.04479244351387024,-0.603192925453186,-1.7261229753494263,-2.3093228340148926,-2.5336971282958984,-2.2950589656829834,-47.25,-27.5
-2.750351905822754,-2.3673157691955566,-2.2647225856781006,-1.4537255764007568,-0.2629557251930237,0.32810962200164795,-0.1313650906085968,-0.746211588382721,-1.8672678470611572,-2.423340082168579,-2.6535964012145996,-2.379503011703491,-47.25,-27.25
-2.8111374378204346,-2.462364435195923,-2.3675882816314697,-1.614485263824463,-0.44164028763771057,0.12309035658836365,-0.3396230936050415,-0.9351086020469666,-2.0336499214172363,-2.5615973472595215,-2.7924118041992188,-2.490178346633911,-47.25,-27.0
-2.8757283687591553,-2.5513322353363037,-2.475769281387329,-1.7749472856521606,-0.6176967024803162,-0.08691126108169556,-0.5427961349487305,-1.1128696203231812,-2.186189651489258,-2.6948869228363037,-2.9247002601623535,-2.6022353172302246,-47.25,-26.75
-2.967690944671631,-2.6638758182525635,-2.6112210750579834,-1.9633127450942993,-0.8343826532363892,-0.33967289328575134,-0.7972519993782043,-1.332546353340149,-2.374025583267212,-2.8581414222717285,-3.078199863433838,-2.745530605316162,-47.25,-26.5
-3.0109927654266357,-2.7226662635803223,-2.7168142795562744,-2.1277639865875244,-1.0302790403366089,-0.5608410835266113,-0.9946013689041138,-1.492794394493103,-2.524700164794922,-2.9811556339263916,-3.1914238929748535,-2.841923713684082,-47.25,-26.25
-3.0330398082733154,-2.7501728534698486,-2.7872958183288574,-2.2614657878875732,-1.2049615383148193,-0.7684124112129211,-1.173540711402893,-1.6180322170257568,-2.643101692199707,-3.0757369995117188,-3.287964344024658,-2.926957607269287,-47.25,-26.0
-2.88104248046875,-2.382925271987915,-2.2010743618011475,-0.9815266728401184,0.23839746415615082,1.0296902656555176,0.49910223484039307,-0.4495546221733093,-1.6549018621444702,-2.271322727203369,-2.4264016151428223,-2.354062080383301,-47.0,-29.0
