jan_V,fev_V,mar_V,abr_V,mai_V,jun_V,jul_V,ago_V,ste_V,out_V,nov_V,dez_V,longitude,latitude
-0.79114830493927,0.051331885159015656,0.7204993367195129,-0.15779319405555725,0.3493731617927551,-0.20872491598129272,-0.5859711766242981,-0.3975493609905243,-0.17716525495052338,-0.2753502130508423,-0.016620822250843048,-0.5979060530662537,-46.5,-26.0
-0.7820559144020081,0.05964849516749382,0.7864349484443665,-0.06559693813323975,0.4396573603153229,-0.0919715166091919,-0.39448991417884827,-0.25569722056388855,-0.014561772346496582,-0.10809840261936188,0.09989435225725174,-0.49789461493492126,-46.5,-25.75
-0.7574183344841003,0.05388221889734268,0.8039630651473999,-0.004323882516473532,0.4841524064540863,0.001317741465754807,-0.2684362530708313,-0.1585233509540558,0.10700707137584686,0.022163528949022293,0.16704769432544708,-0.45049402117729187,-46.5,-25.5
-0.9529372453689575,-0.5274902582168579,0.12784847617149353,-1.0318750143051147,0.07216813415288925,-0.5625842809677124,-1.982833981513977,-1.748345971107483,-1.9180282354354858,-1.1813080310821533,-1.27754545211792,-1.5689677000045776,-46.25,-29.0
-0.9294041395187378,-0.47216176986694336,0.20814982056617737,-0.9503262042999268,0.05145888775587082,-0.5401203036308289,-1.9230504035949707,-1.7218331098556519,-1.8408606052398682,-1.2231365442276,-1.1796685457229614,-1.5352697372436523,-46.25,-28.75
-0.9277937412261963,-0.4063756465911865,0.27690476179122925,-0.878588855266571,0.04211631044745445,-0.5059255361557007,-1.839889645576477,-1.6676963567733765,-1.7289180755615234,-1.1849576234817505,-1.076952576637268,-1.4681392908096313,-46.25,-28.5
-0.9547398686408997,-0.36811113357543945,0.32786136865615845,-0.8510780930519104,0.01635919138789177,-0.5033001899719238,-1.7813656330108643,-1.6069178581237793,-1.613417387008667,-1.109500765800476,-0.9819119572639465,-1.3820769786834717,-46.25,-28.25
-0.959362804889679,-0.3503206670284271,0.3797270357608795,-0.8260563611984253,0.012377387844026089,-0.472758024930954,-1.66385018825531,-1.5121968984603882,-1.4402625560760498,-1.0036704540252686,-0.8401957750320435,-1.2696584463119507,-46.25,-28.0
-0.9738287925720215,-0.35695359110832214,0.41443848609924316,-0.7972565293312073,-0.021281300112605095,-0.469998300075531,-1.5655927658081055,-1.4405087232589722,-1.3008222579956055,-0.9324285984039307,-0.7379903793334961,-1.1752777099609375,-46.25,-27.75
-0.9679401516914368,-0.32270577549934387,0.44368448853492737,-0.7484398484230042,-0.037867218255996704,-0.4520309865474701,-1.4463521242141724,-1.3641053438186646,-1.161938190460205,-0.8745470643043518,-0.6331789493560791,-1.0418823957443237,-46.25,-27.5
