longitude,latitude
-42.0,-24.25
-42.0,-24.0
-42.0,-23.75
-42.0,-23.5
-41.75,-29.0
-41.75,-28.75
-41.75,-28.5
-41.75,-28.25
-41.75,-28.0
-41.75,-27.75
-41.75,-27.5
-41.75,-27.25
-41.75,-27.0
-41.75,-26.75
-41.75,-26.5
-41.75,-26.25
-41.75,-26.0
-41.75,-25.75
-41.75,-25.5
-41.75,-25.25
-41.75,-25.0
-41.75,-24.75
-41.75,-24.5
-41.75,-24.25
-41.75,-24.0
-41.75,-23.75
-41.75,-23.5
-41.5,-29.0
-41.5,-28.75
-41.5,-28.5
-41.5,-28.25
-41.5,-28.0
-41.5,-27.75
-41.5,-27.5
-41.5,-27.25
-41.5,-27.0
-41.5,-26.75
-41.5,-26.5
-41.5,-26.25
-41.5,-26.0
-41.5,-25.75
-41.5,-25.5
-41.5,-25.25
-41.5,-25.0
-41.5,-24.75
-41.5,-24.5
-41.5,-24.25
-41.5,-24.0
-41.5,-23.75
-41.5,-23.5
-41.5,-23.25
-41.25,-29.0
-41.25,-28.75
-41.25,-28.5
-41.25,-28.25
-41.25,-28.0
-41.25,-27.75
-41.25,-27.5
-41.25,-27.25
-41.25,-27.0
-41.25,-26.75
-41.25,-26.5
-41.25,-26.25
-41.25,-26.0
-41.25,-25.75
-41.25,-25.5
-41.25,-25.25
-41.25,-25.0
-41.25,-24.75
-41.25,-24.5
-41.25,-24.25
-41.25,-24.0
-41.25,-23.75
-41.25,-23.5
-41.25,-23.25
-41.25,-23.0
-41.0,-29.0
-41.0,-28.75
-41.0,-28.5
-41.0,-28.25
-41.0,-28.0
-41.0,-27.75
-41.0,-27.5
-41.0,-27.25
-41.0,-27.0
-41.0,-26.75
-41.0,-26.5
-41.0,-26.25
-41.0,-26.0
-41.0,-25.75
-41.0,-25.5
-41.0,-25.25
-41.0,-25.0
-41.0,-24.75
-41.0,-24.5
-41.0,-24.25
-41.0,-24.0
-41.0,-23.75
-41.0,-23.5
-41.0,-23.25
-41.0,-23.0
-41.0,-22.75
-40.75,-29.0
-40.75,-28.75
-40.75,-28.5
-40.75,-28.25
-40.75,-28.0
-40.75,-27.75
-40.75,-27.5
-40.75,-27.25
-40.75,-27.0
-40.75,-26.75
-40.75,-26.5
-40.75,-26.25
-40.75,-26.0
-40.75,-25.75
-40.75,-25.5
-40.75,-25.25
-40.75,-25.0
-40.75,-24.75
-40.75,-24.5
-40.75,-24.25
-40.75,-24.0
-40.75,-23.75
-40.75,-23.5
-40.75,-23.25
-40.75,-23.0
-40.75,-22.75
-40.75,-22.5
-40.5,-29.0
-40.5,-28.75
-40.5,-28.5
-40.5,-28.25
-40.5,-28.0
-40.5,-27.75
-40.5,-27.5
-40.5,-27.25
-40.5,-27.0
-40.5,-26.75
-40.5,-26.5
-40.5,-26.25
-40.5,-26.0
-40.5,-25.75
-40.5,-25.5
-40.5,-25.25
-40.5,-25.0
-40.5,-24.75
-40.5,-24.5
-40.5,-24.25
-40.5,-24.0
-40.5,-23.75
-40.5,-23.5
-40.5,-23.25
-40.5,-23.0
-40.5,-22.75
-40.5,-22.5
-40.5,-22.25
-40.25,-29.0
-40.25,-28.75
-40.25,-28.5
-40.25,-28.25
-40.25,-28.0
-40.25,-27.75
-40.25,-27.5
-40.25,-27.25
-40.25,-27.0
-40.25,-26.75
-40.25,-26.5
-40.25,-26.25
-40.25,-26.0
-40.25,-25.75
-40.25,-25.5
-40.25,-25.25
-40.25,-25.0
-40.25,-24.75
-40.25,-24.5
-40.25,-24.25
-40.25,-24.0
-40.25,-23.75
-40.25,-23.5
-40.25,-23.25
-40.25,-23.0
-40.25,-22.75
-40.25,-22.5
-40.25,-22.25
-40.0,-29.0
-40.0,-28.75
-40.0,-28.5
-40.0,-28.25
-40.0,-28.0
-40.0,-27.75
-40.0,-27.5
-40.0,-27.25
-40.0,-27.0
-40.0,-26.75
-40.0,-26.5
-40.0,-26.25
-40.0,-26.0
-40.0,-25.75
-40.0,-25.5
-40.0,-25.25
-40.0,-25.0
-40.0,-24.75
-40.0,-24.5
-40.0,-24.25
-40.0,-24.0
-40.0,-23.75
-40.0,-23.5
-40.0,-23.25
-40.0,-23.0
-40.0,-22.75
-40.0,-22.5
-40.0,-22.25
